,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
7007,0.695,0.896,5,-2.799,0,0.0496,0.453,0,0.635,0.533,125.941,audio_features,2o0H0o6gWgnegtqkuOhtZk,spotify:track:2o0H0o6gWgnegtqkuOhtZk,https://api.spotify.com/v1/tracks/2o0H0o6gWgnegtqkuOhtZk,https://api.spotify.com/v1/audio-analysis/2o0H0o6gWgnegtqkuOhtZk,240387,4,5th Season (SSFWL),OH MY GIRL,popular
7008,0.55,0.932,4,-1.992,1,0.0624,0.0474,1.35E-06,0.0674,0.702,97.097,audio_features,0BTaaKT4RMbs5M73tOHX5Y,spotify:track:0BTaaKT4RMbs5M73tOHX5Y,https://api.spotify.com/v1/tracks/0BTaaKT4RMbs5M73tOHX5Y,https://api.spotify.com/v1/audio-analysis/0BTaaKT4RMbs5M73tOHX5Y,210573,4,Alcohol-Free,TWICE,popular
7009,0.777,0.577,9,-2.567,0,0.166,0.488,5.94E-06,0.0907,0.82,109.036,audio_features,2zrhoHlFKxFTRF5aMyxMoQ,spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,https://api.spotify.com/v1/tracks/2zrhoHlFKxFTRF5aMyxMoQ,https://api.spotify.com/v1/audio-analysis/2zrhoHlFKxFTRF5aMyxMoQ,221573,4,Next Level,aespa,popular
7010,0.557,0.893,11,-7.249,0,0.27,0.00986,6.99E-05,0.389,0.72,178.857,audio_features,0KGn1PDH5cqmD4B8GMVfae,spotify:track:0KGn1PDH5cqmD4B8GMVfae,https://api.spotify.com/v1/tracks/0KGn1PDH5cqmD4B8GMVfae,https://api.spotify.com/v1/audio-analysis/0KGn1PDH5cqmD4B8GMVfae,194715,4,SPICY,CL,popular
7011,0.688,0.909,8,-2.428,0,0.051,0.0162,0,0.279,0.539,99.984,audio_features,3p0YrVoaMqcu2gn1lIgnWF,spotify:track:3p0YrVoaMqcu2gn1lIgnWF,https://api.spotify.com/v1/tracks/3p0YrVoaMqcu2gn1lIgnWF,https://api.spotify.com/v1/audio-analysis/3p0YrVoaMqcu2gn1lIgnWF,221707,4,FLEX,T1419,popular
7012,0.82,0.852,11,-4.673,0,0.0892,0.0128,0,0.0469,0.828,120.535,audio_features,4QZKSPPgyfNLR9UkMx0158,spotify:track:4QZKSPPgyfNLR9UkMx0158,https://api.spotify.com/v1/tracks/4QZKSPPgyfNLR9UkMx0158,https://api.spotify.com/v1/audio-analysis/4QZKSPPgyfNLR9UkMx0158,204800,4,Popping,ONF,popular
7013,0.477,0.707,6,-4.332,1,0.0514,0.0355,9.38E-05,0.0537,0.964,135.038,audio_features,2qxk6ZQyhE6OKHCG448nIt,spotify:track:2qxk6ZQyhE6OKHCG448nIt,https://api.spotify.com/v1/tracks/2qxk6ZQyhE6OKHCG448nIt,https://api.spotify.com/v1/audio-analysis/2qxk6ZQyhE6OKHCG448nIt,145204,4,Billy Poco,ENHYPEN,popular
7014,0.621,0.913,1,-4.379,1,0.0306,0.119,0,0.0554,0.754,114.996,audio_features,2A7A3KF4NHFjW3ygFSt7In,spotify:track:2A7A3KF4NHFjW3ygFSt7In,https://api.spotify.com/v1/tracks/2A7A3KF4NHFjW3ygFSt7In,https://api.spotify.com/v1/audio-analysis/2A7A3KF4NHFjW3ygFSt7In,111387,4,Hey Tayo - Tayo Opening Theme Song,ENHYPEN,popular
7015,0.811,0.842,11,-1.627,1,0.0788,0.0127,0,0.285,0.551,100.034,audio_features,6B8MM3PVQtUbZLay7tP7er,spotify:track:6B8MM3PVQtUbZLay7tP7er,https://api.spotify.com/v1/tracks/6B8MM3PVQtUbZLay7tP7er,https://api.spotify.com/v1/audio-analysis/6B8MM3PVQtUbZLay7tP7er,195813,4,Hot Sauce,NCT DREAM,popular
7016,0.935,0.814,0,-3.618,1,0.0548,0.00776,0,0.521,0.482,157.052,audio_features,0RzT9tBLcQhofW2TNiHP9B,spotify:track:0RzT9tBLcQhofW2TNiHP9B,https://api.spotify.com/v1/tracks/0RzT9tBLcQhofW2TNiHP9B,https://api.spotify.com/v1/audio-analysis/0RzT9tBLcQhofW2TNiHP9B,167922,4,God¡¯s Menu,Stray Kids,popular
